code	仕入先	品名	保管温度帯	仕入れ単位	棚卸し単位	標準棚卸し単位	最低仕入単位	内製_flg
341	高瀬物産	エフピコ　カウンタークロス白　厚口レギュラー　箱入	備品	箱	箱	1	1	0
342	高瀬物産	ハウスホールドジャパン　CI-4　チャック付きポリ袋　透明	備品	袋	袋	1	1	0
343	高瀬物産	Chefeel スティックシュガー　3g	常温	個	個	1	1	0
344	高瀬物産	ベイクック　長野県産風さやか　2022年産	常温	袋	袋	1	1	0
345	高瀬物産	ベストシェフ　半透明ごみ袋　90L	備品	個	個	1	1	0
346	高瀬物産	ベストシェフ　紙おしぼり　（平）	備品	袋	袋	1	1	0
347	高瀬物産	ベストシェフ　調合ごま油　HP	常温	本	本	1	1	0
348	高瀬物産	ベストシェフ　ステーキソース　ローストガーリック	冷蔵	本	本	1	1	0
349	高瀬物産	QR チョレギサラダドレッシング	冷蔵	本	本	1	1	0
350	高瀬物産	ベストシェフ　いりごま　（白）	常温	袋	袋	1	1	0
351	高瀬物産	ベストシェフ　きざみのり　（国内産）　２mm	常温	袋	袋	1	1	0
352	高瀬物産	SB マルコポーロ　一味唐辛子	常温	袋	袋	1	1	0
353	高瀬物産	SBセレクト　糸切り唐辛子　袋入	常温	袋	袋	1	1	0
354	高瀬物産	中央化学　CFカップ85-180身	備品	袋	袋	1	1	0
355	高瀬物産	ケーピープラテック　紙カップ　KM140用フタ　OP	備品	袋	袋	1	1	0
356	高瀬物産	中央化学　CFカップ　85-180 平蓋	備品	袋	袋	1	1	0
357	高瀬物産	エフピコ　AP -ボウル　大　本体　エコ	備品	袋	袋	1	1	0
358	高瀬物産	エフピコ　AP -ボウル　大深　本体　エコ	備品	袋	袋	1	1	0
359	高瀬物産	エフピコ　AP -ボウル大　（ライン丸18）FS蓋エコ	備品	袋	袋	1	1	0
360	高瀬物産	みやこひも　竹丸箸20cm OP完封　楊枝入　透明袋	備品	袋	袋	1	1	0
361	高瀬物産	ケーピープラテック　54924 KM140-850	備品	袋	袋	1	1	0
362	高瀬物産	ベストシェフ　マヨネーズ　徳用	常温	本	本	1	1	0
363	高瀬物産	S＝O スライスハラペーニョペッパー（トルコ産）	常温	袋	袋	1	1	0
364	高瀬物産	みやこひも　ニューレジ袋S 乳白ブロック	備品	袋	袋	1	1	0
365	高瀬物産	みやこひも　ニューレジ袋　M  乳白　ブロック	備品	袋	袋	1	1	0
366	高瀬物産	ベストシェフ　刻み大根	常温	袋	袋	1	1	0
367	高瀬物産	ベストシェフ　徳用花かつお100 （チャック付）	常温	袋	袋	1	1	0
368	高瀬物産	ベストシェフ ライトタイプすりおろし玉ねぎドレッシング	常温	本	本	1	1	0
369	高瀬物産	ほしえぬ　フライドオニオン	常温	袋	袋	1	1	0
370	高瀬物産	テーオー　みじん切りにんにく	冷蔵	個	個	1	1	0
371	高瀬物産	ベストシェフ 生おろしわさび	冷蔵	本	本	1	1	0
372	高瀬物産	ベストシェフ とろろいも	冷蔵	袋	袋	1	1	0
373	高瀬物産	ベストシェフ　紙おしぼり　（平）	備品	袋	袋	1	1	0
374	高瀬物産	エフピコ　カウンター青　厚口レギュラー　箱入	備品	箱	箱	1	1	0
375	高瀬物産	エフピコ　カウンター桃　厚口レギュラー　箱入	備品	箱	箱	1	1	0
376	高瀬物産	ニッスイ ふっくら切身　骨なし赤魚（アメリカ）60g	冷凍	袋	袋	1	1	0
377	高瀬物産	ピクニック　冷凍牛乳パン1/2カット　ミルク2倍	冷凍	箱	箱	1	1	0
378	高瀬物産	テーブルマーク PSロールケーキ（いちご）	冷凍	本	本	1	1	0
379	高瀬物産	ポッカ　業務用レモン　パルプリッチ	常温	本	本	1	1	0
380	高瀬物産	ベストシェフ　サラダ油	常温	缶	缶	1	1	0
381	高瀬物産	東海　HKから揚げ	冷凍	袋	袋	1	1	0
382	高瀬物産	かめだ　味付海苔セロハン　赤印	常温	袋	袋	1	1	0
383	高瀬物産	GFC うず巻麸	常温	袋	袋	1	1	0
384	高瀬物産	及川　桜えび	常温	袋	袋	1	1	0
385	高瀬物産	ベストシェフ　カットわかめ　N	常温	袋	袋	1	1	0
386	高瀬物産	旭松食品　新あさひ豆腐　10個ポリ	冷蔵	袋	袋	1	1	0
387	高瀬物産	ベストシェフ　オレンジジュース	冷蔵	本	本	1	1	0
388	高瀬物産	ベストシェフ　トマトジュース	冷蔵	本	本	1	1	0
389	高瀬物産	WN アルミTB ダージリン　2.2g	常温	箱	箱	1	1	0
390	高瀬物産	WN アルミTB アールグレイ　2.0g	常温	箱	箱	1	1	0
391	高瀬物産	大冷　きざみ油揚	冷凍	袋	袋	1	1	0
392	高瀬物産	スリーエム　スポンジエース　S キイロ	備品	個	個	1	1	0
393	高瀬物産	エフピコ　スーパーLD袋30 No.13 紐無	備品	袋	袋	1	1	0
394	高瀬物産	伊那　伊那寒天　Sー6	常温	袋	袋	1	1	0
395	高瀬物産	ベストシェフ　フリーザーバッグ　L	備品	個	個	1	1	0
396	高瀬物産	KMC社　じゃがいも加工でん粉 (デンマーク)	常温	袋	袋	1	1	0
397	高瀬物産	ベストシェフ　ランタナ粉(薄力粉)	常温	袋	袋	1	1	0
398	高瀬物産	エバラ　顆粒鶏がらスープ	常温	本	本	1	1	0
399	高瀬物産	ベストシェフ　チキンコンソメ	常温	袋	袋	1	1	0
399.1	高瀬物産	Chefeel　 オレンジママレード　14g	常温	箱	箱	1	1	0
399.11	高瀬物産	Chefeel 　ブルーベリージャム　14g	常温	箱	箱	1	1	0
399.12	高瀬物産	Chefeel　 ストロベリージャム　14g	常温	箱	箱	1	1	0
399.13	高瀬物産	マリンフード　ツキマルシルバー　8g	冷蔵	箱	箱	1	1	0
399.14	高瀬物産	大和物産　フリーザーバッグL	備品	個	個	1	1	0
399.15	高瀬物産	大和物産　新増量WフリーザーバッグM	備品	個	個	1	1	0
399.16	高瀬物産	エフピコ　竹丸箸20cm OP完封　楊枝無し	備品	袋	袋	1	1	0
399.17	高瀬物産	ベストシェフ　きざみあげ	冷凍	袋	袋	1	1	0
399.18	高瀬物産	ベストシェフ　ラップ　45cm	備品	個	個	1	1	0
399.19	高瀬物産	ベストシェフ　ラップ　30cm	備品	個	個	1	1	0
399.2	高瀬物産	マルハニチロ　ギリシャ産フルーツカクテル	常温	缶	缶	1	1	0
401	日本食研	食研つゆ 1LR	常温	本	本	1	1	0
402	日本食研	食研仕込 サーモン切身 冷凍	冷凍	CS	CS	1	1	0
403	日本食研	食研仕込 サバ切身 冷凍	冷凍	CS	CS	1	1	0
404	日本食研	食研仕込 サワラ切身 冷凍	冷凍	CS	CS	1	1	0
405	日本食研	食研白だし 1L	常温	本	本	1	1	0
406	日本食研	西京漬の素　5kg	冷蔵	個	個	1	1	0
407	日本食研	きねつき餅(北海道)　冷凍	冷凍	個	個	1	1	0
408	日本食研	海藻ミックス　100g A	常温	袋	袋	1	1	0
409	日本食研	旨だししょうゆ　15g	常温	袋	袋	1	1	0
410	日本食研	十八穀ごはんの素（混ぜ込み用）	常温	袋	袋	1	1	0
411	日本食研	生わさび　2.5g チルド　A	冷蔵	個	個	1	1	0
412	日本食研	西京漬の素　1kg	冷蔵	個	個	1	1	0
413	日本食研	トマト煮込みソース　2kg R	常温	本	本	1	1	0
414	日本食研	食研仕込　ごろごろ野菜1kg 冷凍	冷凍	袋	袋	1	1	0
415	日本食研	味噌煮のたれ1kgチルド	冷蔵	個	個	1	1	0
416	日本食研	わらび餅カット（きなこ）1kg 冷凍N	冷凍	袋	袋	1	1	0
417	日本食研	わらび餅カット（抹茶）1kg 冷凍N	冷凍	袋	袋	1	1	0
418	日本食研	ポキのたれ　１L	常温	本	本	1	1	0
419	日本食研	今川焼　冷凍	冷凍	袋	袋	1	1	0
